optlang,140,188,00135371,0,1,1,4294967295,0,0
optfilter,206,64,00113073,0,1,1,4294967295,0,0
optstats,274,100,00248C65,0,1,1,4294967295,0,0
optegg,274,64,003CBA2F,0,1,1,4294967295,0,0
optkey,206,28,00060E98,0,1,1,4294967295,0,0
optjoy,240,28,00016491,0,1,1,4294967295,0,0
mmicon,16,16,0038FC8D,0,1,1,4294967295,0,1
optvol,272,188,003BFD7D,0,1,1,4294967295,0,0
optvideo,272,148,0025D52A,0,1,1,4294967295,0,0
optmusic,240,64,0012B40B,0,1,1,4294967295,0,0
optpause,274,28,00318AF0,0,1,1,4294967295,0,0
optdetail,206,100,001CDB7E,0,1,1,4294967295,0,0
optassets,240,100,002C5C8C,0,1,1,4294967295,0,0
optdiscord,308,64,002AADB7,0,1,1,4294967295,0,0
optmusvol,272,168,000D4544,0,1,1,4294967295,0,0
mmlegends,200,216,002D7473,0,1,1,4294967295,0,0
runespawner,48,8,00209A69,0,1,1,4294967295,0,0
segafadein,64,8,00013C0D,0,1,1,4294967295,0,0
